subj,clip,child_age_mo,vetting_lab,RA,all_media,Crit0,CHI1,CHI2,CHI3,CHI4,CHI5,50%T,CA1,CA2,CA3,CA4,CA5,A1,A2,A3,A4,A5,Crit1,Crit2,Crit3,Crit4,Pass1Tally,Pass2Tally,Pass3Tally,Pass4Tally,StopRule,clip_rank,corp,CHsum,CAsum,Asum,subj_numclips_Pass0_Pass2,ranking_crit,round
0256,0256_14_17_31085.0_31385.0_2min.wav,17,SOD,JB,N,PASS,1,1,1,1,1,Y,1,1,1,1,1,1,1,1,1,1,PASS,PASS,PASS,PASS,10,8,2,9,PROCEED,14,BER,5,5,5,23,standard,1
0256,0256_15_17_5285.0_5585.0_2min.wav,17,SOD,JB,N,PASS,1,1,1,1,1,Y,1,1,1,1,1,1,1,1,1,1,PASS,PASS,PASS,PASS,11,9,3,10,PROCEED,15,BER,5,5,5,23,standard,2
0256,0256_19_17_17285.0_17585.0_2min.wav,17,SOD,JB,N,PASS,1,1,1,1,1,Y,1,1,1,1,1,1,1,1,1,1,PASS,PASS,PASS,PASS,14,12,4,14,PROCEED,19,BER,5,5,5,23,standard,3
0256,0256_22_17_42485.0_42785.0_2min.wav,17,SOD,JB,N,PASS,1,1,1,1,1,Y,1,1,1,1,1,1,1,1,1,1,PASS,PASS,PASS,PASS,17,14,5,17,PROCEED,22,BER,5,5,5,23,standard,1
0256,0256_25_17_41885.0_42185.0_2min.wav,17,SOD,JB,N,PASS,1,1,1,1,1,Y,1,1,1,1,1,1,1,1,1,1,PASS,PASS,PASS,PASS,20,17,6,18,PROCEED,25,BER,5,5,5,23,standard,2
0256,0256_26_17_43085.0_43385.0_2min.wav,17,SOD,JB,N,PASS,1,1,1,1,1,Y,1,1,1,1,1,1,1,1,1,1,PASS,PASS,PASS,PASS,21,18,7,19,PROCEED,26,BER,5,5,5,23,standard,3
0256,0256_33_17_44885.0_45185.0_2min.wav,17,SOD,JB,N,PASS,1,1,1,1,1,Y,1,1,1,1,1,1,1,1,1,1,PASS,PASS,PASS,PASS,23,21,8,25,PROCEED,33,BER,5,5,5,23,standard,1
0256,0256_8_17_44285.0_44585.0_2min.wav,17,SOD,JB,N,PASS,1,1,1,1,1,Y,1,1,1,1,0,1,1,1,1,1,PASS,PASS,FAIL,PASS,5,4,1,6,PROCEED,8,BER,5,4,5,23,standard,2
0256,0256_32_17_33485.0_33785.0_2min.wav,17,SOD,JB,N,PASS,1,1,1,1,1,Y,1,1,1,1,0,1,1,1,1,1,PASS,PASS,FAIL,PASS,22,20,7,24,PROCEED,32,BER,5,4,5,23,standard,3
0256,0256_7_17_2885.0_3185.0_2min.wav,17,SOD,JB,N,PASS,1,1,1,1,1,Y,1,1,1,0,0,1,1,1,1,1,PASS,PASS,FAIL,PASS,4,3,1,5,PROCEED,7,BER,5,3,5,23,standard,1
0256,0256_17_17_11885.0_12185.0_2min.wav,17,SOD,JB,N,PASS,1,1,1,1,1,Y,1,1,1,0,0,1,1,1,1,1,PASS,PASS,FAIL,PASS,12,10,3,12,PROCEED,17,BER,5,3,5,23,standard,2
0256,0256_21_17_40685.0_40985.0_2min.wav,17,SOD,JB,N,PASS,1,1,1,1,1,Y,1,1,0,0,0,1,1,1,1,1,PASS,PASS,FAIL,PASS,16,13,4,16,PROCEED,21,BER,5,2,5,23,standard,3
0256,0256_9_17_20285.0_20585.0_2min.wav,17,SOD,JB,N,PASS,1,1,1,1,1,Y,1,1,0,0,0,1,1,1,1,0,PASS,PASS,FAIL,FAIL,6,5,1,6,PROCEED,9,BER,5,2,4,23,standard,1
0256,0256_6_17_8285.0_8585.0_2min.wav,17,SOD,JB,N,PASS,1,1,1,1,1,Y,1,0,0,0,0,1,1,1,0,0,PASS,PASS,FAIL,FAIL,3,2,1,4,PROCEED,6,BER,5,1,3,23,standard,2
0256,0256_3_17_17885.0_18185.0_2min.wav,17,SOD,JB,N,PASS,1,1,1,1,1,Y,0,0,0,0,0,1,1,1,1,1,PASS,PASS,FAIL,PASS,1,1,0,2,PROCEED,3,BER,5,0,5,23,standard,3
0459,0459_29_9_37085.0_37385.0_2min.wav,9,SOD,RC,N,PASS,1,1,1,1,1,Y,1,1,1,1,0,1,1,1,1,1,PASS,PASS,FAIL,PASS,15,24,0,21,PROCEED,29,BER,5,4,5,30,standard,1
0459,0459_12_9_31085.0_31385.0_2min.wav,9,SOD,RC,N,PASS,1,1,1,1,1,Y,1,1,1,0,0,1,1,1,1,1,PASS,PASS,FAIL,PASS,7,11,0,8,PROCEED,12,BER,5,3,5,30,standard,2
0459,0459_14_9_25685.0_25985.0_2min.wav,9,SOD,RC,N,PASS,1,1,1,1,1,Y,1,1,1,0,0,1,1,1,1,1,PASS,PASS,FAIL,PASS,9,13,0,9,PROCEED,14,BER,5,3,5,30,standard,3
0459,0459_5_9_16085.0_16385.0_2min.wav,9,SOD,RC,N,PASS,1,1,1,0,0,Y,1,1,1,0,0,1,1,1,1,1,FAIL,PASS,FAIL,PASS,2,4,0,3,PROCEED,5,BER,3,3,5,30,standard,1
0459,0459_11_9_39485.0_39785.0_2min.wav,9,SOD,RC,N,PASS,1,1,1,1,1,Y,1,1,0,0,0,1,1,1,1,1,PASS,PASS,FAIL,PASS,6,10,0,7,PROCEED,11,BER,5,2,5,30,standard,2
0459,0459_27_9_35285.0_35585.0_2min.wav,9,SOD,RC,N,PASS,1,1,1,1,1,Y,1,1,0,0,0,1,1,1,1,1,PASS,PASS,FAIL,PASS,14,22,0,19,PROCEED,27,BER,5,2,5,30,standard,3
0459,0459_31_9_33485.0_33785.0_2min.wav,9,SOD,RC,N,PASS,1,1,0,0,0,Y,1,1,0,0,0,1,1,1,1,1,FAIL,PASS,FAIL,PASS,15,26,0,23,PROCEED,31,BER,2,2,5,30,standard,1
0459,0459_9_9_0485.0_0785.0_2min.wav,9,SOD,RC,N,PASS,1,1,1,1,1,Y,1,0,0,0,0,1,1,1,1,1,PASS,PASS,FAIL,PASS,4,8,0,5,PROCEED,9,BER,5,1,5,30,standard,2
0459,0459_19_9_2285.0_2585.0_2min.wav,9,SOD,RC,N,PASS,1,1,1,1,1,Y,1,0,0,0,0,1,1,1,1,1,PASS,PASS,FAIL,PASS,11,16,0,13,PROCEED,19,BER,5,1,5,30,standard,3
